Unnamed: 0,user,text,favorite_count,retweet_count,created_at,sentiment,scale
11,shakira,Feliz cumpleaños a nuestro colegio de la playa de @fpiesdescalzos Hace 14 años en Barranqulla construimos un colegio que trasformó la vida de miles de niños familias y una comunidad entera. https://t.co/sIc9xRA9wo,24303,1395,2023-03-02 18:45:39+00:00,neutral,0
12,shakira,Reminiscing moments at the TQG shoot https://t.co/SFtBgTNkYU,125325,4312,2023-02-28 23:00:53+00:00,neutral,0
13,shakira,TQG at #2 on @Spotify global chart. Two songs in the Top 6. It’s a pretty amazing feeling! Thank you all for the support! https://t.co/graG6IT3mC,113584,5045,2023-02-26 20:26:25+00:00,positive,1
14,shakira,"Gracias al equipo de @karolg y mio, por todo el trabajo y la ayuda. Un grupo de mujeres Triple M! https://t.co/cKPv0rxL8C",240047,8451,2023-02-25 20:17:44+00:00,neutral,0
15,shakira,Gracias a todos por la increíble recepción a tqg  💛💙❤️ https://t.co/fnrRyvAsym,510224,17644,2023-02-24 18:00:14+00:00,neutral,0
16,shakira,"Muchísimas gracias a mi gente, a @premiolonuestro y a @Univision por estos tres reconocimientos y por el apoyo de siempre, gracias de corazón! #PremioLoNuestro https://t.co/wA8N0xr4NX",46592,2422,2023-02-24 15:39:33+00:00,neutral,0
17,shakira,Shakira’s Niece Isabella Mebarak Designed Sold Out ‘Las Mujeres Facturan’ Sweatshirt https://t.co/RoETWGSlXX via @wearemitu ➡️ https://t.co/rJ2HxOvOnT,7826,514,2023-02-23 22:34:00+00:00,neutral,0
18,shakira,"Limited edition sweatshirt designed by my niece! Available now on https://t.co/3KDraxDmzP 

Sudadera edición limitada diseñada por mi sobrina! Ya disponible en https://t.co/3KDraxDmzP https://t.co/qjPbZRlrPZ",22828,1415,2023-02-17 14:36:52+00:00,positive,1
19,shakira,Donate now https://t.co/FTbB1MmcXb https://t.co/f82LuW4YM4,4336,522,2023-02-15 20:23:42+00:00,neutral,0
20,shakira,Feliz cumple @karolg! 🥰🥳😘,168794,5158,2023-02-14 16:06:44+00:00,neutral,0
21,shakira,"Remembering good times and wishing you the best vibes for tonight’s show, Rih! 🥰 @rihanna #SBLVII #AppleMusicHalftime https://t.co/RjJnVggj7y",347565,21902,2023-02-12 19:20:23+00:00,positive,1
22,shakira,So proud of you Sky! You are a warrior on wheels! 🥰 https://t.co/v3O0RUHDBn,8070,429,2023-02-12 18:24:54+00:00,positive,1
23,shakira,Donate here https://t.co/QEkiNDm2mV https://t.co/XMbImewkLQ,4523,752,2023-02-10 20:27:41+00:00,neutral,0
24,shakira,"Thousands of lives have been lost this week due to the earthquake affecting Turkiye and Syria-thousands more have been displaced and left with no home, and those most affected by this tragedy, as always, will be children left without protection Donate here https://t.co/QEkiNDm2mV https://t.co/3GGI2Rs1xs",7538,1275,2023-02-09 17:41:37+00:00,positive,1
25,shakira,"Música y amistad, la mejor combinación https://t.co/BBy8cGJfSs",70036,1904,2023-01-31 17:17:01+00:00,neutral,0
26,shakira,🥳🥳❣️ https://t.co/Tx1572TJ9t,175722,7197,2023-01-26 01:37:31+00:00,neutral,0
27,shakira,😱😱😱 https://t.co/KYL7KHoapD,51337,2661,2023-01-25 15:05:42+00:00,neutral,0
28,shakira,"I feel humbled and grateful though I’m only one among millions of women out there who have so much to say and offer. Women of all races, ages and conditions. Thanks for your loyalty and support. ❤️ https://t.co/jnQmv7x3Zd",108542,7002,2023-01-22 20:50:39+00:00,positive,1
29,shakira,Wow guys! 110 million views! I’ve got to make more of these!! https://t.co/b22rQk8LAH https://t.co/qWhb1IWjrL,65495,2652,2023-01-20 11:26:25+00:00,positive,1
30,shakira,Que sería de nosotras sin las amigas que secan nuestras lagrimas y también celebran los buenos momentos? https://t.co/NQVbRtihGv,250135,13334,2023-01-15 20:32:26+00:00,neutral,0
31,shakira,Wow! Can’t believe this! Number one for three days!!? Thanks so much for the support ❤️ 3 días consecutivos número 1? Es increíble! Gracias a todos por el apoyo que me dan! ❤️ https://t.co/H9b4u0DHPX,94643,5051,2023-01-15 16:50:13+00:00,positive,1
32,shakira,@bizarrap! 100M en @youtube ya? Me dicen que es la canción en español más rápida en lograr eso? Necesito que alguien me pellizque a ver si es cierto. https://t.co/ZT6xc3XOUN,90526,5570,2023-01-15 03:57:06+00:00,neutral,0
33,shakira,"Gracias al increíble @bizarrap , @SonyMusicLatin y a mi maravilloso equipo y grupo de mujeres guerreras que caminan a mi lado.       
          
Esto va para todas las mujeres que me enseñaron que cuando la vida te tira limones amargos no queda otra que hacer limonada. https://t.co/YegQ8MUXi6",348966,26312,2023-01-13 17:41:13+00:00,neutral,0
34,shakira,🤯🥹 https://t.co/e77CY2EaQf,265790,11067,2023-01-12 20:42:07+00:00,neutral,0
35,shakira,"Foi tão lindo ver vocês de novo! 
O Luciano o Rafa e todo o mundo no Domingão! Isômero estar com vocês em breve! tenho muita saudade de voces te amo Brasil!!! ❤️❤️❤️ https://t.co/vBATza6KHz",54766,2372,2023-01-03 23:40:13+00:00,neutral,0
36,shakira,"Aunque continúen abiertas nuestras heridas en este nuevo año, el tiempo tiene manos de cirujano... https://t.co/kUBhGj2cUD",119918,16429,2023-01-01 20:58:51+00:00,neutral,0
37,shakira,Estou contigo Brazil.,213361,7702,2022-12-30 11:23:02+00:00,neutral,0
38,shakira,"In the desert this Christmas, searching for serenity. En el desierto buscando la serenidad en esta navidad. https://t.co/SOWIj7Cta9",127025,3566,2022-12-25 18:58:49+00:00,neutral,0
39,shakira,Thanks for all the love and support you gave me and my kids during this year. I wish you a sweet holiday. Here’s to a 2023 that's filled with peace and hope.❣️ https://t.co/qpqwytkoni,33503,1452,2022-12-24 17:03:08+00:00,positive,1
40,shakira,Recordándote en tu día querido amigo. Feliz Cumpleaños @AlejandroSanz https://t.co/hu90UHnK8x,50343,1630,2022-12-18 20:08:31+00:00,neutral,0
41,shakira,I hope there’s more than a minute of silence in our hearts to remember what’s important and more than one voice united screaming for what is just.,71945,8236,2022-12-18 14:33:31+00:00,positive,1
42,shakira,"Today at the final of the World Cup, I only hope the players on the field and the whole world remembers that there’s a man and fellow footballer called Amir Nasr, on death row, only for speaking in favor of Women’s rights. https://t.co/VdMicGVaml",571239,146410,2022-12-18 14:33:09+00:00,positive,1
43,shakira,"Yo también pienso como tú. El mundial, la navidad no pueden ser más importantes que la vida humana, los derechos de las mujeres, y aquellas voces que a la fuerza otros quieren silenciar. Hablemos de lo realmente importante o lancemos un grito unidos, mientras tengamos voz. https://t.co/bpkh1s04pc",54876,13828,2022-12-17 13:55:13+00:00,neutral,0
44,shakira,"The fight for equality and human rights should be praised not punished, I stand in solidarity with Amir Nasr. https://t.co/QkqC9fgymX

La lucha por la igualdad y los derechos humanos debe de ser reconocida y no castigada. Me uno en solidaridad con Amir Nasr.",37871,12009,2022-12-17 13:53:17+00:00,neutral,0
45,shakira,"Estamos celebrando desde nuestra fundación @fpiesdescalzos la graduación de nuestros alumnos de Barranquilla, promoción 2022, a quienes hemos acompañado en su educación desde los casi 3 años!! Gracias al equipo de Pies Descalzos, lo que inició como un sueño está dando sus frutos. https://t.co/Wh3bEpkhrM",13036,834,2022-12-16 14:15:27+00:00,neutral,0
46,shakira,"Felicidades los graduados de nuestras escuelas en Quibdo y Cartagena. 
Desde nuestra fundación @fpiesdescalzos agradecemos a los maestros y alumnos por su compromiso y por darnos esta gran alegria! https://t.co/y2d2YZN5hb",14980,1034,2022-12-12 16:42:00+00:00,neutral,0
47,shakira,This time for Africa!! 👏🇲🇦 #WorldCup,1157855,180072,2022-12-10 17:01:48+00:00,neutral,0
48,shakira,"¡En Barranquilla se habla inglés! Que orgullo saber que mi ciudad fue la primera en instaurar una política pública para llevar el bilingüismo a todos los colegios públicos. 

Barranquilla sigue haciendo historia, entregándole más oportunidades a los niños y jóvenes. https://t.co/A71Tg0Dzpp",22658,1710,2022-12-09 16:35:43+00:00,neutral,0
49,shakira,E eu também estou muito feliz de te ver tão emocionado! Você vai ter que dançar com migo na minha próxima apresentação no Brazil!!!!! ❤️ https://t.co/CuDrHZ6AFC,205191,9037,2022-12-06 15:29:50+00:00,neutral,0
50,shakira,This is soooo good. Adore! Muito legal!!! 😍 @raphaelviicente https://t.co/oQjry8vg2N,322757,33846,2022-12-06 00:38:16+00:00,positive,1
51,shakira,#Monotonia Official Lyric Video available NOW! @ozuna https://t.co/GnRpuenQRs https://t.co/haiXFND1AX,5333,517,2022-12-05 18:09:39+00:00,positive,1
52,shakira,Congrats @ozuna!! Que equipo!! 😍 @billboard https://t.co/tml6aqDE46,10195,758,2022-12-02 16:47:28+00:00,neutral,0
53,shakira,Happy Thanksgiving everyone! https://t.co/1HUvm2qzK3,19860,1307,2022-11-24 19:49:58+00:00,positive,1
54,shakira,Gracias a todo el equipo de nuestra fundación @fpiesdescalzos que trabaja incansablemente por mejorar la vida y la educación de miles de niños en Colombia! 😍 https://t.co/6MRRxXup1V,6845,709,2022-11-14 20:55:55+00:00,neutral,0
55,shakira,100 millones de vistas! 🫀 100 million views! https://t.co/pLJTXvuNdt #Monotonia https://t.co/mmbkcrGeQ8,12675,1080,2022-11-14 16:54:20+00:00,neutral,0
56,shakira,Was so fun bringing Gazelle back for the new Zootopia+ shorts (out now on @DisneyPlus) https://t.co/UQsref1Cna,12039,961,2022-11-12 21:16:54+00:00,positive,1
57,shakira,"Gracias @Los40 por este premio, a @JaumedeLaiguana y a todo nuestro equipo por los esfuerzos en lograr este vídeo! 🙌🏼 @rauwalejandro https://t.co/gCS29EZXhD",7160,641,2022-11-05 15:32:53+00:00,neutral,0
58,shakira,"Shakira, Ozuna - Monotonía (Official Behind the Scenes Video)
https://t.co/11vFUP4AqP",5415,602,2022-11-03 16:22:26+00:00,negative,-1
59,shakira,Is this so pathetic that I’m eating my kids candy? https://t.co/4MhjMSYWdm,27256,832,2022-11-01 22:57:10+00:00,negative,-1
60,shakira,"De porrista a súper héroe. Por cierto la mujer maravilla fue mi primer disfraz! Halloween, la excusa perfecta para sublimar deseos de infancia! 😜 https://t.co/ptMEpB5wRr",57667,2813,2022-10-31 19:10:32+00:00,neutral,0
61,shakira,"Animadora oficial del equipo de Sasha y Milan y su fan número uno! ❣️

Official cheerleader for Milan and Sasha and their #1 fan! https://t.co/xsR2dTz0Fi",35605,1627,2022-10-30 23:05:42+00:00,neutral,0
62,shakira,This is amazing! https://t.co/h2ZqGU4gr1,11475,629,2022-10-28 22:05:28+00:00,positive,1
63,shakira,Post break up costume anyone? Credit: @MarkRober https://t.co/WvvuhHm1Dw,8153,594,2022-10-27 21:53:26+00:00,neutral,0
64,shakira,Thank you all for this nomination to the people’s  choice award ❣️ @peopleschoice https://t.co/e2Ft984l2k https://t.co/kzFemlyQtY,10354,897,2022-10-26 22:47:17+00:00,neutral,0
65,shakira,"@JaumedeLaiguana Gracias por creer en mi visión y seguirme en mis sueños diurnos, compartiendo tu arte conmigo! ❣️ https://t.co/Y2ntKAb4gf",1439,251,2022-10-26 17:34:09+00:00,neutral,0
66,shakira,"Thank you for the love @youtubemusic, NY and LA can’t wait to see you again! https://t.co/6D2KGtfQ1l",11341,1040,2022-10-22 17:24:44+00:00,positive,1
67,shakira,"Solo ustedes, su magia ha hecho de
esto un debut espectacular! 😍😍😍😍😍 #Monotonia 

You and only you--and of course ozu--have made this debut spectacular!!! 😍😍😍😍😍 @ozuna https://t.co/d1CfskdDkE",19291,1870,2022-10-21 20:08:07+00:00,positive,1
68,shakira,#Monotonia @ozuna 🫀🗡️ YA DISPONIBLE / OUT NOW https://t.co/H9Fldum287 https://t.co/RKVX4C8Pp2,29111,3231,2022-10-20 17:58:05+00:00,neutral,0
69,shakira,@SpotifyMexico 🫀🗡️,1090,137,2022-10-20 16:38:22+00:00,neutral,0
70,shakira,"Gracias a toda mi gente! ❤️
Cada vez que tuve un agujero en el pecho, fueron ustedes quienes con su cariño y comprensión me ayudaron a repararlo. https://t.co/aPeN8DQBxJ",96232,5379,2022-10-20 08:59:21+00:00,neutral,0
71,shakira,Stream #Monotonia now! 🫀 @ozuna https://t.co/H9Fldum287 https://t.co/zUxvjnPElb,21443,2052,2022-10-20 01:28:08+00:00,neutral,0
72,shakira,Gracias a Ozu y a todos ustedes por el apoyo y cariño que me han dado desde el rodaje hasta el lanzamiento de esta canción! Espero que les guste. ❤️ @ozuna https://t.co/pLJTXvMo51 https://t.co/9VVokpEJsh,111740,13740,2022-10-20 00:04:59+00:00,neutral,0
73,shakira,3 horas… #Monotonia 🫀🗡️ @ozuna https://t.co/pLJTXvMo51 https://t.co/mRvh4sUSE5,9676,1026,2022-10-19 20:17:34+00:00,neutral,0
74,shakira,Gracias por la camiseta Ozu!  And happy launch day! @ozuna https://t.co/d07F9sy4z2,41092,1625,2022-10-19 18:22:14+00:00,positive,1
75,shakira,#Monotonía 🫀🗡 MAÑANA / TOMORROW @ozuna https://t.co/NaTM8nGBBL https://t.co/z4wBmVzNB7,15822,1823,2022-10-18 19:06:56+00:00,neutral,0
76,shakira,#Monotonia🫀🗡️ @ozuna MIÉRCOLES / WEDNESDAY 8:00 PM EST https://t.co/pLJTXvvl31 https://t.co/OrYqHkS54o,15223,2279,2022-10-17 19:44:13+00:00,neutral,0
77,shakira,#Monotonía 🫀🗡 19 DE OCTUBRE https://t.co/NaTM8nGBBL https://t.co/kQ1wu2XMgD,29261,3285,2022-10-15 17:25:01+00:00,neutral,0
78,shakira,#MONOTONIA🫀 19 DE OCTUBRE @ozuna https://t.co/NaTM8nGBBL https://t.co/AJtuYGEYYN,18886,2880,2022-10-12 19:14:27+00:00,neutral,0
79,shakira,Se volvió rutinario #Monotonía 🫀🗡 19.10.22 https://t.co/oLec19rYRI,27650,2823,2022-10-11 19:07:54+00:00,neutral,0
80,shakira,My heart is with Mahsa Amini’s family and with the women and schoolgirls of Iran and all those fighting for freedom of expression. #MahsaAmini https://t.co/PbFBMTcP6W,119140,34338,2022-10-10 22:04:21+00:00,neutral,0
81,shakira,Merci @NRJMusicAwards! Gros bisous! https://t.co/KmcGl46lkv,8675,566,2022-10-10 20:32:38+00:00,neutral,0
82,shakira,"“Monotonía”🫀🗡 19 oct @ozuna 
https://t.co/NaTM8nGBBL https://t.co/tYCQUv3zgw",34339,3604,2022-10-09 16:09:20+00:00,neutral,0
83,shakira,"Nunca dije nada, pero me dolía. Yo sabía que esto pasaría. https://t.co/DGAyry3mA4",212095,20010,2022-10-08 19:05:14+00:00,neutral,0
84,shakira,https://t.co/1FzB8frgVr,64581,4440,2022-10-08 16:14:10+00:00,neutral,0
85,shakira,https://t.co/bC92LbMgE1,40850,3053,2022-10-07 17:20:17+00:00,neutral,0
86,shakira,https://t.co/lwtXUh23tP,84853,7384,2022-10-06 19:38:55+00:00,neutral,0
87,shakira,"Inauguramos en La Guajira una nueva escuela @fpiesdescalzos con nuestros socios “Educate a Child” y el  gobierno local. Construida con paneles solares, eficiente en carbono, de materiales locales, y una de las pocas de la zona, es un lugar de puertas abiertas a la comunidad! https://t.co/ktrHrVsi8k https://t.co/MgPwWMxoVH",22118,2545,2022-10-01 20:47:16+00:00,neutral,0
88,shakira,Gracias por tus palabras me han llegado al fondo de mi corazón @AnaBejaranoRG https://t.co/7Da6Lwtu5y,19745,2276,2022-09-27 20:09:12+00:00,neutral,0
89,shakira,"Wow! One billion streams for Hips Don't Lie. Thank you to @Spotify for the plaque, to @wyclef for the collaboration and to all of you for your incredible support. https://t.co/qKueipaIXP",95088,5181,2022-09-27 16:24:50+00:00,positive,1
90,shakira,"Pensé que el álbum estaba terminado. Pero cada vez que entro al estudio para retocar una estrofa o para mezclar una canción que está casi lista para salir termino con nueva música porque en este momento me siento creativa, y siento que es una vía increíble… https://t.co/OhDPTzpYKf",244107,9323,2022-09-23 16:40:53+00:00,neutral,0
91,shakira,"“I want to be there for all the people who have shown me their love and support. That’s my most powerful engine right now.” 

Read Shak’s full interview with @ELLEmagazine here https://t.co/ZoMCoBpawm ShakHQ https://t.co/JoRo0bY3TO",23750,1639,2022-09-22 14:48:06+00:00,positive,1
92,shakira,"Thank you to the @ELLEmagazine team, it’s always so nice to work with you, you were so sweet. And thanks to @JaumedeLaiguana for the beautiful pictures. https://t.co/KJqbAoY1B2 https://t.co/panyBcbX8Z",32324,2400,2022-09-21 17:02:12+00:00,positive,1
93,shakira,Gracias por la nominación a los @LatinGRAMMYs Te felicito Rauw! https://t.co/webalSsxHV,28785,1638,2022-09-20 21:11:26+00:00,neutral,0
94,shakira,Ozu! Eres un campeón como aguantaste las tantas horas de rodaje continuo. Un placer trabajar contigo!!! Mereces el éxito que has conseguido!! 🧸 https://t.co/E1jXdYR94h https://t.co/qF5Cnm4a8I,13620,965,2022-09-12 17:28:13+00:00,neutral,0
95,shakira,Feliz cumple @bizarrap! 🤟🏼,363912,7360,2022-08-30 00:22:02+00:00,neutral,0
96,shakira,Gracias por este homenaje tan bonito ❤️ Los quiero! @RevistaCromos https://t.co/hOpu4IWUSB,41393,2261,2022-08-16 16:00:51+00:00,neutral,0
97,shakira,Algunos de mis vídeos favoritos 💜 #TeFelicito https://t.co/HpJejVJHGv,8734,575,2022-08-12 20:24:09+00:00,neutral,0
98,shakira,Can’t see these camera phones catching on… 🤳 Casi no veo cuánto han cambiado las cámaras en los celulares #tbt https://t.co/xWG5tZ9vSc,13665,1157,2022-08-11 22:04:40+00:00,positive,1
99,shakira,Perteneciste a una raza antigua. De pies descalzos y de sueños blancos…,163532,17091,2022-08-10 18:58:14+00:00,neutral,0
100,shakira,El amor más puro https://t.co/hy61fEkcIe,148206,3598,2022-08-08 17:15:04+00:00,neutral,0
101,shakira,Thanks to the @Dodgers for making my kids feel at home https://t.co/6MTLZC90qb,33723,1405,2022-08-02 21:11:16+00:00,positive,1
102,shakira,200 MILLONES DE STREAMS en @Spotify #TeFelicito @rauwalejandro 🤖❣️Gracias por tanto apoyo! https://t.co/yKkaTxlKuL https://t.co/NYzd9MmBi3,8874,716,2022-07-27 15:01:02+00:00,neutral,0
103,shakira,"I’m so proud of you Molly, and Judy Hopps is too! You’re brilliant and I hope more kids like you find the courage to use their voice to help others like you have-keep it up! 🐰❣️@UNICEF Watch 7-year-old Molly’s Talk here: https://t.co/XD9OM19E0b https://t.co/W1mZ7jNE1a",4957,595,2022-07-22 18:34:25+00:00,positive,1
104,shakira,In case you missed it or want to binge watch #DancingWithMyself you can do it now only on @peacockTV https://t.co/A3UZp4Ljmw https://t.co/jHV7WhyPvD,3529,322,2022-07-20 16:54:33+00:00,neutral,0
105,shakira,💜 #DancingWithMyself https://t.co/JjKRNDzGsE,5873,395,2022-07-20 02:16:05+00:00,neutral,0
106,shakira,#DontYouWorry 👽💚 50M views on @YouTube @bep @davidguetta https://t.co/kfuZByhcZC,2841,352,2022-07-19 13:56:02+00:00,neutral,0
107,shakira,Discover the new Dance Midnight Muse fragrance. Descubre la nueva fragancia Dance Midnight Muse. #ShakiraPerfumes #ShakiraMidnightMuse https://t.co/vEJ0qhwYug https://t.co/CByKvGbTeO,6454,591,2022-07-19 01:27:39+00:00,positive,1
108,shakira,Don’t miss out the season finale of #DancingWithMyself tomorrow 10/9c on @nbc! https://t.co/PStMSzbiOV,2916,298,2022-07-18 23:19:59+00:00,neutral,0
109,shakira,"Don't forget, you can also catch #DancingWithMyself on @peacockTV ! Catch up on this week's episode ahead of the finale next week. https://t.co/0IRg5vOUWk",5199,405,2022-07-13 16:31:12+00:00,neutral,0
110,shakira,Tune in tonight and don’t miss a new episode of #DancingWithMyself 10/9c on @nbc! https://t.co/ZcMTwHQhlH,3433,313,2022-07-12 19:56:48+00:00,positive,1
111,shakira,Excited to announce the ultimate Te Felicito challenge! Learn this dance and you might see yourself on screen next week for the big finale! Use #DancingWithMyselfAtHome to enter💜 can’t wait to see all of your new dances! https://t.co/vTFTlhudsD,8966,829,2022-07-11 21:32:39+00:00,positive,1
112,shakira,Nos enseñaste a levantarnos después de cada caída y esta vez sabemos que lo volveras a hacer. Te amamos. https://t.co/1Eh71ixUYu,62637,2098,2022-07-09 16:26:37+00:00,neutral,0
113,shakira,Merci @spotifyfrance 💋 bisous https://t.co/B6TffNTsjA,2440,296,2022-07-07 18:38:15+00:00,neutral,0
114,shakira,Gracias por estas 200 millones de visitas!🥰😍 Thank u all for these 200 million views!!🥰😍 https://t.co/S8cR1VWU5J https://t.co/m4dlRumpOQ,8623,682,2022-07-07 13:31:52+00:00,neutral,0
115,shakira,"Porque estén donde estén, #LosHermanosTambiénCuran 💙. Siempre. Estamos segurísimos de ello. @juegaterapia https://t.co/v6CKtaOgss",4072,447,2022-07-06 15:13:27+00:00,neutral,0
116,shakira,#DancingWithMyself ✨ https://t.co/m2Zsie3Nlt,9140,478,2022-07-06 02:31:00+00:00,neutral,0
117,shakira,#TeFelicito #1 en radio en España! 🇪🇸 https://t.co/S2ORZkbueU,13717,768,2022-07-05 10:00:42+00:00,neutral,0
118,shakira,See you tomorrow! #DancingWithMyself  10/9c on @nbc https://t.co/JNbDmjXBDn,3713,356,2022-07-04 15:34:48+00:00,neutral,0
119,shakira,"50 MILLONES DE ESCUCHAS MENSUALES en @Spotify! Gracias por esto y por tanto, son mi motor! Los quiero 💋❣️ 50 MILLION MONTHLY LISTENERS on @Spotify! I can't believe it. You're the reason I keep doing this. Thank you so much for all the love.💋❣️ https://t.co/lqxcOkIxjH",10952,967,2022-07-02 15:59:16+00:00,positive,1
120,shakira,30M views on @YouTube! #DontYouWorry 👽@bep @davidguetta https://t.co/kfuZByhcZC https://t.co/Z87vOM7sn3,7457,718,2022-07-01 15:13:36+00:00,neutral,0
121,shakira,#tbt when @jimmyfallon and I danced #TeFelicito 💜🤖 @FallonTonight  https://t.co/WbHzNGNWdd,2756,346,2022-06-30 20:28:28+00:00,neutral,0
122,shakira,Check out a sneak peek from tonight’s episode of #DancingWithMyself and don’t forget to tune in tonight at 10/9c on @nbc to see who wins! https://t.co/zXOtPC1dWP,2431,281,2022-06-28 14:48:04+00:00,positive,1
123,shakira,“Waka Waka Shakira”🙏🏼🤭In case you missed #DancingWithMyself you can watch it now for free on @peacockTV! https://t.co/A3UZp4Ljmw https://t.co/iE7i3lPDQQ,3348,343,2022-06-23 18:10:30+00:00,positive,1
124,shakira,Learn this dance. Post your video using the #DancingWithMyselfAtHome tune in to see if you're featured! https://t.co/Uk4kFa8RM1,16332,1297,2022-06-22 02:48:34+00:00,neutral,0
125,shakira,#DancingWithMyself https://t.co/NAfJFlawyJ https://t.co/V5ZXoWsI2C,2627,196,2022-06-22 02:38:11+00:00,neutral,0
126,shakira,@Benjamin010203 🤭,63,3,2022-06-22 02:25:48+00:00,neutral,0
127,shakira,See you TONIGHT! 💋 #DancingWithMyself on @nbc https://t.co/HzKnT1X7mX,26679,966,2022-06-22 01:52:21+00:00,neutral,0
128,shakira,Tengo los mejores fans del mundo! No puedo creer que #TeFelicito acaba de pasar los 150 MILLONES DE VISTAS en @YouTube💋Para celebrar les dejo un vídeo especial detrás del set del vídeo en mi canal de YouTube! https://t.co/22jPvM59L7,11853,921,2022-06-21 19:10:56+00:00,neutral,0
129,shakira,#DancingWithMyself TONIGHT 10/9c on @nbc https://t.co/luhfiyxxTa,3887,391,2022-06-21 11:38:15+00:00,neutral,0
130,shakira,Don't You Worry w/ @bep + @davidguetta 👽 OUT NOW on all platforms! https://t.co/tF7Kxq0E3Z https://t.co/BF9gZFIRjV,10523,1660,2022-06-17 22:11:59+00:00,neutral,0
131,shakira,https://t.co/n1tBZWTH4q https://t.co/FAcApgTluY,3660,281,2022-06-15 02:33:53+00:00,neutral,0
132,shakira,💋💋💋 https://t.co/IffGgliddF https://t.co/2D6PrXg6Fn,2747,231,2022-06-15 02:29:32+00:00,neutral,0
133,shakira,❣️ https://t.co/iasEhz4Qre https://t.co/nPR27zhxOs,2524,191,2022-06-15 02:27:57+00:00,neutral,0
134,shakira,Learn this dance. Post your video using the #DancingWithMyselfAtHome and tune in to see if you’re featured! Dancing with Myself airs TUESDAY 10/9c on @nbc https://t.co/ozoxsN3jGh,13425,1170,2022-06-15 02:24:30+00:00,neutral,0
135,shakira,"I just heard from my team that the “Te Felicito” video flew past 100 million views yesterday! 
You are the best fans in the whole wide world! 
Thanks so much for your support and love! ❤️",4720,353,2022-06-12 13:51:18+00:00,positive,1
136,shakira,"Me acaba de contar mi equipo que el vídeo de “Te Felicito” ya sobrepasó las 100 millones de visitas! 
Son los mejores fans del mundo!!!
Gracias por tanto apoyo y cariño!! ❤️ https://t.co/n2VqwsaR9L",30745,1639,2022-06-12 13:51:01+00:00,neutral,0
137,shakira,I’ve been working on this limited edition perfume for a long time and I’m so excited that you now have the chance to make it yours 🌸✨ https://t.co/rrccAjk44R (Available on US &amp; LATAM stores only) https://t.co/ha7332p3rz,7140,466,2022-06-11 14:25:51+00:00,positive,1
138,shakira,You guys looked great! Be sure to check out the #DancingWithMyselfAtHome challenge each week for your chance to dance on TV too. I can’t wait to see your moves! https://t.co/TMCuQ9eVLb,3572,275,2022-06-08 22:11:17+00:00,positive,1
139,shakira,"Con mi papá de alta, ya en casa y en el camino ascendente, ayudándole con su estimulación cognitiva después del traumatismo. Gracias a todos por arroparnos con su inmenso cariño.❣️ https://t.co/YykUegL4ww",212604,6641,2022-06-08 17:28:10+00:00,neutral,0
